iter,episodes,win_rate,loss_rate,draw_rate,avg_ticks,avg_reward,pi_loss,v_loss,entropy,kl
1,40,0.0,0.0,1.0,200.0,-1.2974594580424177,-0.0040,0.0697,1.3142,0.00584
2,40,0.0,0.0,1.0,200.0,-0.9148022697808178,-0.0076,0.0562,1.3203,0.00966
3,40,0.0,0.0,1.0,200.0,-0.5086512196140475,-0.0028,0.0500,1.3071,0.00646
4,40,0.0,0.0,1.0,200.0,-0.43180666338377793,-0.0052,0.0671,1.2758,0.00775
5,40,0.0,0.0,1.0,200.0,0.0734247939011908,-0.0091,0.0558,1.2975,0.00671
6,40,0.0,0.0,1.0,200.0,0.4757607155920134,-0.0047,0.0774,1.2566,0.00847
7,40,0.0,0.0,1.0,200.0,1.768752770207889,-0.0084,0.1242,1.2090,0.00767
8,40,0.0,0.0,1.0,200.0,2.2911817391534224,-0.0121,0.1399,1.1506,0.01222
9,40,0.075,0.0,0.925,199.625,3.6046036719252292,-0.0085,0.2512,1.0624,0.00745
10,40,0.35,0.0,0.65,193.275,6.0562683378115825,0.0006,0.4370,0.9982,0.00344
11,40,0.3,0.125,0.575,190.0,1.6342186953230926,-0.0020,0.6186,0.9754,0.00286
12,40,0.25,0.15,0.6,191.7,2.4428380388379356,-0.0033,0.6155,0.9307,0.00537
13,40,0.425,0.125,0.45,188.975,3.0996647743918553,-0.0042,0.6568,0.9184,0.00325
14,40,0.325,0.3,0.375,185.825,0.6157430703917678,0.0001,0.7449,0.9042,0.00414
15,40,0.5,0.125,0.375,182.125,3.9971652641123496,-0.0050,0.8141,0.8886,0.00602
16,40,0.45,0.2,0.35,179.175,2.4459828965435655,-0.0015,0.9291,0.8897,0.00252
17,40,0.55,0.2,0.25,180.925,3.687153804455839,-0.0023,0.9187,0.8618,0.00471
18,40,0.525,0.225,0.25,183.675,3.1004661918669068,-0.0005,0.8900,0.8598,0.00492
19,40,0.55,0.125,0.325,184.275,4.56669912088384,-0.0025,0.7589,0.8207,0.00484
20,40,0.5,0.1,0.4,185.625,3.687248971283767,-0.0013,0.7041,0.8184,0.00309
21,40,0.35,0.375,0.275,182.325,0.2735434843047239,-0.0050,0.8943,0.7978,0.00421
22,40,0.55,0.225,0.225,172.95,3.8829095746382416,-0.0165,0.8054,0.8053,0.00276
23,40,0.45,0.35,0.2,174.75,2.241301262963848,-0.0005,0.8925,0.7852,0.00404
24,40,0.525,0.175,0.3,181.325,3.2793046935391517,-0.0001,1.0237,0.7745,0.00388
25,40,0.525,0.15,0.325,183.025,3.2218795500069106,-0.0004,0.8828,0.7502,0.00416
26,40,0.475,0.3,0.225,175.425,2.746833547953974,0.0002,1.0601,0.7902,0.00403
27,40,0.525,0.25,0.225,179.7,3.1577096422370343,0.0034,1.0139,0.7884,0.00384
28,40,0.575,0.075,0.35,184.05,5.072073151160184,-0.0026,0.8678,0.7826,0.00473
29,40,0.5,0.2,0.3,180.275,3.575659330768969,-0.0042,0.8254,0.7649,0.00353
30,40,0.35,0.325,0.325,180.925,0.3760399539190586,-0.0030,0.8691,0.7545,0.00262
31,40,0.45,0.175,0.375,186.425,2.604412912684943,-0.0022,0.9068,0.7579,0.00491
32,40,0.6,0.175,0.225,176.875,3.6875940959470315,-0.0017,0.8323,0.7526,0.00316
33,40,0.425,0.25,0.325,177.2,2.4047919944701777,0.0005,0.9103,0.7260,0.00157
34,40,0.5,0.3,0.2,179.875,2.5970806158579207,-0.0071,0.9842,0.7222,0.00209
35,40,0.5,0.15,0.35,183.45,3.3835185697986647,-0.0032,0.9195,0.7142,0.00275
36,40,0.575,0.175,0.25,180.675,4.066957982727108,-0.0043,1.0407,0.7082,0.00515
37,40,0.7,0.1,0.2,181.15,5.579045176369509,0.0002,0.8851,0.7237,0.00375
38,40,0.6,0.225,0.175,178.6,4.49692114150349,-0.0017,0.9104,0.6948,0.00416
39,40,0.55,0.25,0.2,175.35,3.6135446902603734,0.0025,0.9550,0.6741,0.00246
40,40,0.5,0.3,0.2,178.175,2.6381668969838428,-0.0013,0.8984,0.6896,0.00294
41,40,0.55,0.375,0.075,170.55,2.0250045953451776,-0.0009,0.9999,0.7043,0.00372
42,40,0.525,0.2,0.275,179.075,3.3287822585742832,-0.0021,0.9472,0.6852,0.00323
43,40,0.675,0.2,0.125,174.0,4.374492460317071,0.0009,1.0440,0.6716,0.00352
44,40,0.675,0.125,0.2,178.9,5.355602982868784,-0.0007,0.9685,0.6882,0.00334
45,40,0.475,0.175,0.35,184.775,3.324167886956798,-0.0017,0.9057,0.6800,0.00379
46,40,0.5,0.175,0.325,180.2,3.4087799610404543,0.0002,0.8057,0.7051,0.00362
47,40,0.625,0.125,0.25,179.525,4.976524110467372,-0.0052,0.8284,0.6718,0.00330
48,40,0.475,0.35,0.175,176.3,2.3835132613646506,0.0023,0.8669,0.6838,0.00325
49,40,0.525,0.25,0.225,178.3,3.3717676680423003,-0.0017,0.9318,0.6952,0.00333
50,40,0.5,0.125,0.375,184.175,3.5526543433266036,-0.0009,0.8403,0.7367,0.00297
51,40,0.525,0.15,0.325,181.25,3.048325858086724,-0.0017,0.8334,0.7088,0.00286
52,40,0.425,0.175,0.4,188.325,3.023888530344946,-0.0000,0.9520,0.6817,0.00302
53,40,0.425,0.225,0.35,181.825,1.9989717537600058,-0.0023,0.7985,0.6683,0.00289
54,40,0.525,0.175,0.3,184.05,3.356824892858228,-0.0010,0.8819,0.6879,0.00496
55,40,0.625,0.1,0.275,179.5,6.0185649890829165,0.0012,0.8790,0.6469,0.00374
56,40,0.475,0.175,0.35,178.725,3.281021114165624,-0.0019,0.8345,0.6402,0.00302
57,40,0.45,0.225,0.325,178.275,2.5479481838917644,-0.0019,0.8596,0.6763,0.00277
58,40,0.575,0.125,0.3,177.05,5.463499653104138,-0.0005,0.9169,0.6390,0.00303
59,40,0.525,0.15,0.325,184.15,3.870077511097582,-0.0007,0.9259,0.6517,0.00376
60,40,0.45,0.275,0.275,181.875,1.8653968559956422,-0.0000,0.7868,0.6674,0.00296
61,40,0.525,0.125,0.35,180.65,2.9560157501462934,-0.0041,0.9818,0.6753,0.00447
62,40,0.375,0.15,0.475,184.25,2.2405259078948982,-0.0004,0.7978,0.6505,0.00347
63,40,0.525,0.25,0.225,181.925,3.464997410089013,0.0037,0.9681,0.6440,0.00255
64,40,0.425,0.4,0.175,177.975,0.9430282798125885,-0.0002,0.9518,0.6724,0.00314
65,40,0.475,0.275,0.25,175.025,2.983218579280487,-0.0035,0.8977,0.6708,0.00275
66,40,0.5,0.125,0.375,181.25,4.30089463777767,-0.0001,0.9892,0.6604,0.00329
67,40,0.45,0.225,0.325,180.775,1.9810346994191796,-0.0018,0.8121,0.6771,0.00396
68,40,0.475,0.225,0.3,184.275,3.177520147839746,-0.0021,0.7006,0.6630,0.00389
69,40,0.5,0.2,0.3,180.275,2.9710383367735127,0.0005,0.8995,0.6559,0.00296
70,40,0.45,0.2,0.35,181.35,3.9726081161138738,0.0032,0.8917,0.6271,0.00383
71,40,0.475,0.225,0.3,181.7,2.0256346981403066,-0.0017,0.9243,0.6758,0.00380
72,40,0.35,0.3,0.35,183.425,1.644020876888428,0.0011,0.7813,0.6769,0.00521
73,40,0.425,0.1,0.475,184.625,3.7472621418949066,-0.0014,0.7960,0.6788,0.00388
74,40,0.45,0.15,0.4,186.3,2.502153645581017,0.0020,0.8778,0.7021,0.00413
75,40,0.475,0.175,0.35,184.95,2.3959735656877057,-0.0018,0.7902,0.6755,0.00454
76,40,0.5,0.125,0.375,186.025,3.7198970948998955,-0.0034,0.8757,0.6680,0.00321
77,40,0.6,0.075,0.325,183.625,4.6175723205315204,0.0015,0.7828,0.6630,0.00367
78,40,0.525,0.05,0.425,184.1,4.2169675712276575,-0.0009,0.7583,0.6515,0.00310
79,40,0.425,0.2,0.375,182.5,2.4032955225632744,-0.0004,0.8336,0.6672,0.00227
80,40,0.6,0.125,0.275,184.375,3.8265026665371993,-0.0010,0.8399,0.6377,0.00286
81,40,0.45,0.175,0.375,184.725,1.942240465758444,-0.0021,0.9007,0.6677,0.00330
82,40,0.45,0.175,0.375,185.925,2.6500814235405157,-0.0023,0.7841,0.6282,0.00741
83,40,0.35,0.175,0.475,186.925,1.3024228478157978,-0.0007,0.7639,0.6147,0.00215
84,40,0.375,0.15,0.475,187.375,1.6639627942555464,-0.0005,0.7602,0.6281,0.00246
85,40,0.475,0.075,0.45,184.575,4.093606797444103,-0.0005,0.7289,0.6186,0.00222
86,40,0.475,0.075,0.45,188.875,3.279993516323804,-0.0027,0.6748,0.6500,0.00266
87,40,0.55,0.075,0.375,183.5,4.224125829236255,0.0003,0.7504,0.6222,0.00274
88,40,0.525,0.125,0.35,184.55,3.311754001103438,0.0003,0.7873,0.6415,0.00242
89,40,0.5,0.175,0.325,179.5,2.735218313742576,-0.0095,0.7777,0.6133,0.00405
90,40,0.575,0.125,0.3,182.075,3.745970967085296,0.0018,0.7758,0.6171,0.00266
91,40,0.4,0.075,0.525,187.95,2.44200613827854,-0.0023,0.7702,0.6428,0.00451
92,40,0.6,0.15,0.25,179.9,4.875712408561908,0.0003,0.7835,0.6179,0.00348
93,40,0.475,0.1,0.425,185.3,3.0424899504669645,-0.0008,0.7949,0.6711,0.00387
94,40,0.625,0.075,0.3,178.9,4.041984479253863,-0.0011,0.7559,0.6477,0.00239
95,40,0.7,0.025,0.275,179.225,4.741552296287112,-0.0017,0.8035,0.6591,0.00472
96,40,0.425,0.075,0.5,187.075,3.3065809925230534,0.0025,0.6997,0.6548,0.00304
97,40,0.575,0.075,0.35,183.625,4.5513580129549025,-0.0022,0.6990,0.6368,0.00439
98,40,0.525,0.125,0.35,185.3,3.796261188292732,-0.0021,0.8202,0.6329,0.00372
99,40,0.6,0.125,0.275,181.675,4.4840496232076035,-0.0040,0.6256,0.6103,0.00387
100,40,0.7,0.075,0.225,180.3,6.280859745899996,0.0057,0.7900,0.6122,0.00303
101,40,0.5,0.125,0.375,184.4,2.7708191070931245,-0.0013,0.7259,0.6592,0.00295
102,40,0.625,0.1,0.275,179.125,5.703952768279272,-0.0012,0.8653,0.6377,0.00363
103,40,0.7,0.0,0.3,181.275,5.393895754376179,0.0017,0.7523,0.6367,0.00191
104,40,0.625,0.025,0.35,182.1,4.351645570892314,-0.0004,0.7562,0.6411,0.00417
105,40,0.575,0.05,0.375,182.275,3.527503424618917,-0.0024,0.7018,0.6522,0.00390
106,40,0.65,0.1,0.25,176.125,4.817028936393654,-0.0013,0.7437,0.6349,0.00493
107,40,0.525,0.025,0.45,187.225,3.1386044392419006,0.0027,0.5969,0.6641,0.00340
108,40,0.375,0.025,0.6,191.6,3.4273123522361226,0.0004,0.6146,0.6176,0.00345
109,40,0.675,0.0,0.325,179.65,5.341280305732189,-0.0058,0.6742,0.6158,0.00369
110,40,0.55,0.0,0.45,186.95,4.775097391625459,-0.0070,0.6635,0.5977,0.00272
111,40,0.4,0.25,0.35,186.5,0.23775294519731852,-0.0067,0.7685,0.6311,0.00368
112,40,0.65,0.1,0.25,175.825,4.439926765347609,-0.0001,0.7148,0.6201,0.00308
113,40,0.7,0.1,0.2,176.375,4.1226920977368025,0.0006,0.7700,0.6448,0.00333
114,40,0.675,0.025,0.3,181.875,4.085979882241704,-0.0019,0.7033,0.6587,0.00196
115,40,0.5,0.125,0.375,188.75,1.8351751983893396,0.0013,0.9154,0.6668,0.00211
116,40,0.675,0.1,0.225,178.425,5.09683592165584,-0.0019,0.7987,0.6205,0.00370
117,40,0.625,0.1,0.275,177.825,4.9099446976947005,-0.0006,0.8753,0.6422,0.00268
118,40,0.6,0.1,0.3,180.575,3.5915293196235902,-0.0076,0.8656,0.6621,0.00340
119,40,0.6,0.075,0.325,184.475,4.033969126628485,-0.0008,0.9325,0.6328,0.00416
120,40,0.6,0.125,0.275,174.425,3.0781891554200054,0.0017,0.9129,0.6762,0.00451
121,40,0.475,0.2,0.325,179.225,2.5736907999959393,-0.0019,0.8889,0.6602,0.00362
122,40,0.625,0.025,0.35,179.95,4.331113685176711,0.0010,0.8439,0.6725,0.00364
123,40,0.5,0.15,0.35,179.375,2.4429501808852354,-0.0124,0.9148,0.6394,0.00273
124,40,0.475,0.1,0.425,182.775,3.70088489919335,-0.0025,0.9127,0.6207,0.00396
125,40,0.425,0.125,0.45,187.275,1.7583356027144288,0.0010,0.8354,0.6255,0.00494
126,40,0.6,0.075,0.325,179.55,3.8719204559605815,-0.0008,0.8494,0.6277,0.00410
127,40,0.65,0.025,0.325,179.25,4.315653999013277,0.0107,0.7615,0.6185,0.00624
128,40,0.625,0.05,0.325,188.2,4.576687562539606,-0.0030,0.7702,0.6162,0.00409
129,40,0.6,0.075,0.325,182.4,3.3979472851358627,-0.0019,0.8507,0.6294,0.00472
130,40,0.625,0.05,0.325,185.625,5.240791077029741,-0.0010,0.7683,0.5873,0.00264
131,40,0.525,0.1,0.375,181.075,3.677920078831781,-0.0004,0.7618,0.6112,0.00256
132,40,0.65,0.075,0.275,181.075,3.79975702708262,0.0001,0.8124,0.6304,0.00319
133,40,0.5,0.1,0.4,182.875,2.248227656214213,0.0003,0.8126,0.6600,0.00267
134,40,0.425,0.15,0.425,182.225,1.775011162447516,-0.0012,0.8011,0.6340,0.00319
135,40,0.525,0.075,0.4,185.625,3.671123851068915,-0.0007,0.8557,0.6089,0.00186
136,40,0.6,0.125,0.275,184.2,2.8603683788390453,-0.0007,0.7637,0.6475,0.00378
137,40,0.7,0.05,0.25,181.875,5.27699355134584,-0.0019,0.8650,0.5830,0.00373
138,40,0.675,0.05,0.275,179.65,4.762579687142316,-0.0075,0.8523,0.5929,0.00547
139,40,0.575,0.125,0.3,181.425,2.051528441008463,-0.0023,0.7007,0.6246,0.00427
140,40,0.55,0.1,0.35,180.575,2.447392665437905,0.0021,0.7385,0.6197,0.00300
141,40,0.525,0.05,0.425,180.7,3.1708105275601572,-0.0030,0.7005,0.6475,0.00464
142,40,0.5,0.1,0.4,182.8,2.467333476834267,-0.0019,0.7318,0.6305,0.00369
143,40,0.45,0.075,0.475,186.95,2.2187501078079297,-0.0012,0.7397,0.6158,0.00318
144,40,0.475,0.15,0.375,185.875,2.6277345918559147,-0.0051,0.8273,0.6053,0.00349
145,40,0.45,0.2,0.35,185.85,1.730525041652546,-0.0152,0.8915,0.6175,0.00249
146,40,0.6,0.1,0.3,180.3,5.216594496130108,-0.0118,0.8548,0.5563,0.00421
147,40,0.625,0.1,0.275,180.75,4.574871975121036,0.0028,0.8951,0.5689,0.00453
148,40,0.65,0.05,0.3,183.175,4.955580614171388,-0.0014,0.8407,0.5961,0.00525
149,40,0.6,0.05,0.35,183.025,3.607680473963596,-0.0024,0.8087,0.6199,0.00204
150,40,0.475,0.1,0.425,181.85,3.458224595061999,0.0001,0.7475,0.6011,0.00372
151,40,0.575,0.15,0.275,177.225,3.0362782090107996,-0.0021,0.7413,0.5618,0.00299
152,40,0.55,0.1,0.35,184.1,3.881115333226931,-0.0010,0.7721,0.5755,0.00493
153,40,0.675,0.125,0.2,179.725,4.924774116880213,-0.0124,0.9167,0.5764,0.00388
154,40,0.45,0.175,0.375,185.375,1.811694415278544,-0.0013,0.8613,0.5934,0.00332
155,40,0.375,0.025,0.6,186.975,2.7830469443677193,-0.0032,0.7449,0.5749,0.00301
156,40,0.75,0.025,0.225,179.375,5.831942526391019,0.0028,0.7996,0.6080,0.00310
157,40,0.525,0.075,0.4,185.775,3.4887314927570126,0.0040,0.7409,0.5907,0.00220
158,40,0.55,0.125,0.325,184.55,3.6078355232483332,-0.0004,0.7701,0.5984,0.00367
159,40,0.6,0.125,0.275,181.875,3.0034573961410236,0.0017,0.8513,0.5931,0.00308
160,40,0.575,0.075,0.35,181.725,4.608910263404789,-0.0023,0.7753,0.5983,0.00312
161,40,0.525,0.15,0.325,183.35,3.8269398869126996,-0.0026,0.6714,0.6123,0.00352
162,40,0.525,0.1,0.375,185.175,4.092590356924025,0.0003,0.7567,0.5901,0.00349
163,40,0.4,0.15,0.45,191.45,0.8216055127176796,-0.0023,0.8063,0.6352,0.00392
164,40,0.5,0.025,0.475,189.0,4.328469449618965,0.0011,0.8112,0.6018,0.00432
